,drug_id,smiles
0,CID000002173,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)[O-])C
1,CID000003345,CCC(=O)N(C1CCN(CC1)CCC2=CC=CC=C2)C3=CC=CC=C3
2,CID000005206,C(OC(C(F)(F)F)C(F)(F)F)F
3,CID000009433,CN1C2=C(C(=O)N(C1=O)C)NC=N2.CN1C2=C(C(=O)N(C1=O)C)NC=N2.C(CN)N
4,CID000003929,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F
5,CID000150610,CC1C2C(C(=O)N2C(=C1SC3CC(NC3)C(=O)NC4=CC=CC(=C4)C(=O)O)C(=O)O)C(C)O
6,CID000001302,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O
7,CID000005064,C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N
8,CID000005267,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
9,CID000010631,CC1CC2C(CCC3(C2CCC3(C(=O)C)O)C)C4(C1=CC(=O)CC4)C
10,CID000004601,CC1=CC=CC=C1C(C2=CC=CC=C2)OCCN(C)C
11,CID000005376,CCC(=C(C1=CC=CC=C1)C2=CC=C(C=C2)OCCN(C)C)C3=CC=CC=C3
12,CID000005090,CS(=O)(=O)C1=CC=C(C=C1)C2=C(C(=O)OC2)C3=CC=CC=C3
13,CID000005556,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4Cl
14,CID000004946,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O
15,CID000130881,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)OCC5=C(OC(=O)O5)C)C(C)(C)O
16,CID000005391,CN1C2=C(C=C(C=C2)Cl)C(=NC(C1=O)O)C3=CC=CC=C3
17,CID000005584,CC(CN1C2=CC=CC=C2CCC3=CC=CC=C31)CN(C)C
18,CID000002802,C1C(=O)NC2=C(C=C(C=C2)[N+](=O)[O-])C(=N1)C3=CC=CC=C3Cl
19,CID005381226,CC1C=CC=C(C(=O)NC2=C(C3=C(C4=C(C(=C3O)C)OC(C4=O)(OC=CC(C(C(C(C(C(C1O)C)O)C)OC(=O)C)C)OC)C)C(=O)C2=CNN5CCN(CC5)C)O)C
20,CID000004212,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO
21,CID000060953,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)C2C(C(C(O2)C)O)O
22,CID000000596,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O
23,CID000005726,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)N=[N+]=[N-]
24,CID000002522,CC(C=CC(C1CC1)O)C2CCC3C2(CCCC3=CC=C4CC(CC(C4=C)O)O)C
25,CID000003308,CCC1=C2C(=CC=C1)C3=C(N2)C(OCC3)(CC)CC(=O)O
26,CID000003405,C1=CC(=CC=C1C(=O)NC(CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)N=C(N3)N
27,CID000060795,C1CC(=O)NC2=C1C=CC(=C2)OCCCCN3CCN(CC3)C4=C(C(=CC=C4)Cl)Cl
28,CID000003446,C1CCC(CC1)(CC(=O)O)CN
29,CID004183806,CCCCC(C)(CC=CC1C(CC(=O)C1CCCCCCC(=O)OC)O)O
30,CID000004107,COC1=CC=CC=C1OCC(COC(=O)N)O
31,CID000004917,CN1CCN(CC1)CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)Cl
